timestamp.0,integration_long.0,integration_long.1,integration_long.2,integration_long.3,integration_long.4,integration_long.5,integration_long.6,integration_long.7,integration_long.8,integration_long.9,integration_long.10,integration_long.11,integration_long.12,integration_long.13,integration_long.14,integration_long.15,integration_short.0,integration_short.1,integration_short.2,integration_short.3,integration_short.4,integration_short.5,integration_short.6,integration_short.7,integration_short.8,integration_short.9,integration_short.10,integration_short.11,integration_short.12,integration_short.13,integration_short.14,integration_short.15,
0.0036749,,2995.52,,,,,,,,,,,,,,,,1867.19,,,,,,,,,,,,,,,
0.00367901,,6424.52,,,,,,,,,,,,,,,,4050.96,,,,,,,,,,,,,,,
0.00372565,,8628.55,,,,,,,,,,,,,,,,5409.59,,,,,,,,,,,,,,,
0.0037435,,12461,,,,,,,,,,,,,,,,8060.54,,,,,,,,,,,,,,,
0.00376304,,3941.74,,,,,,,,,,,,,,,,2437.73,,,,,,,,,,,,,,,
0.00382539,,8398.6,,,,,,,,,,,,,,,,5340.36,,,,,,,,,,,,,,,
0.00383788,,5468.02,,,,,,,,,,,,,,,,3358.44,,,,,,,,,,,,,,,
0.00383889,,0.445834,,,,,,,,,,,,,,,,2312.32,,,,,,,,,,,,,,,
0.00385041,,7948.73,,,,,,,,,,,,,,,,5502.24,,,,,,,,,,,,,,,
0.00386072,,5581.23,,,,,,,,,,,,,,,,3495.02,,,,,,,,,,,,,,,
0.0038841,,10667,,,,,,,,,,,,,,,,6874.48,,,,,,,,,,,,,,,
0.00389775,,11802.9,,,,,,,,,,,,,,,,7411.96,,,,,,,,,,,,,,,
0.00390389,,5621.81,,,,,,,,,,,,,,,,3418.98,,,,,,,,,,,,,,,
0.00392668,,3092.86,,,,,,,,,,,,,,,,1893.76,,,,,,,,,,,,,,,
0.00400605,,14192.1,,,,,,,,,,,,,,,,9244.66,,,,,,,,,,,,,,,
0.00406634,,,18902,,,,,,,,,,,,,,,,12689.7,,,,,,,,,,,,,,
0.00408396,,16113.5,,,,,,,,,,,,,,,,10449,,,,,,,,,,,,,,,
0.00409199,,5147.31,,,,,,,,,,,,,,,,3090.71,,,,,,,,,,,,,,,
0.00409602,,9356.79,,,,,,,,,,,,,,,,5976.19,,,,,,,,,,,,,,,
0.00411982,,4450.87,,,,,,,,,,,,,,,,2749.33,,,,,,,,,,,,,,,
0.00412132,,6648.82,,,,,,,,,,,,,,,,4254.33,,,,,,,,,,,,,,,
0.00412428,,3669.67,,,,,,,,,,,,,,,,2135.97,,,,,,,,,,,,,,,
0.00412876,,12291.1,,,,,,,,,,,,,,,,7829.03,,,,,,,,,,,,,,,
0.00414958,,4810.03,,,,,,,,,,,,,,,,3036.28,,,,,,,,,,,,,,,
